,item_category_id,median_total_items_sold_peritemcat,highest_total_items_sold_peritemcat,lowest_total_items_sold_peritemcat,median_no_of_items_peritemcat,highest_no_of_items_peritemcat,lowest_no_of_items_peritemcat,median_sales_peritemcat,highest_sales_peritemcat,lowest_sales_per_month,median_total_returned_items_peritemcat
0,0,1.0,1.0,1.0,1.0,1,1,93.0,148.0,22.4,0.0
1,1,1.0,1.0,1.0,1.0,1,1,215.5,283.0,148.0,0.0
2,2,494.0,2126.0,81.0,480.0,1760,80,1095332.5499999998,4127846.249999992,232133.75,-3.0
3,3,740.5,2855.0,136.0,710.5,1997,120,1881207.3599999947,6354302.750000001,69141.2,-4.0
4,4,46.0,246.0,1.0,46.0,233,1,14423.0,227731.0,58.0,-1.0
5,5,197.5,631.0,31.0,194.0,586,32,145550.7,612902.0700000006,19768.0,-1.0
6,6,605.5,1336.0,231.0,563.5,1047,220,1043898.2999999998,2641228.20000001,573279.35,-3.0
7,7,243.5,1652.0,178.0,228.5,1089,132,672037.4550000001,4520283.19999999,383574.68,-2.0
8,8,170.0,5202.0,-1.0,69.0,943,1,191600.0,7346289.999999114,-1500.0,-1.0
9,9,378.5,2524.0,83.0,58.0,112,35,161150.49999999447,481861.99999971804,60887.000000002,-4.0
10,10,1.0,1.0,1.0,1.0,1,1,1998.0,1998.0,1998.0,0.0
11,11,145.0,867.0,6.0,141.5,727,6,1852195.275,9465736.4999998,62280.0,-1.0
12,12,363.0,1980.0,72.0,272.5,856,76,8111699.45000005,45921936.9999976,2104981.9800000004,-2.0
13,13,5.0,84.0,1.0,7.0,81,1,19857.5,412803.77,698.0,-1.0
14,14,87.0,436.0,1.0,87.0,377,2,803872.4500000001,3293376.4000000004,7698.0,-1.5
15,15,151.5,597.0,30.0,147.5,451,30,1745328.4749999992,7073831.5,501716.0,-1.0
16,16,71.5,1001.0,42.0,68.0,715,43,1673927.375,17384793.74999868,73310.0,-1.0
17,17,17.0,68.0,1.0,17.0,69,1,43447.0,181675.0,1290.0,-2.0
18,18,1.5,3.0,1.0,1.5,3,1,597.0,1258.2,84.0,0.0
19,19,6649.5,18645.0,2389.0,6038.5,11944,2294,10194133.395000044,36857194.60000052,4069162.969999999,-23.0
20,20,4665.0,12618.0,1802.0,3150.0,7250,451,12738036.244999962,38466772.66999861,4872118.2,-16.5
21,21,639.0,3410.0,94.0,639.5,3171,94,364451.33999999985,2065049.2599999981,62411.26,-4.5
22,22,742.0,1704.0,300.0,719.5,1573,297,918171.5249999999,2460895.8,349467.86,-2.0
23,23,4386.5,9733.0,2137.0,4032.0,8091,2023,6510120.844999991,18673388.060000215,3547739.530000001,-16.0
24,24,1058.5,3215.0,330.0,915.0,2762,262,2480263.7900000196,7329338.279999985,791302.99999996,-6.0
25,25,539.0,1210.0,255.0,525.0,1168,248,435161.5,954740.6900000001,202044.0,-2.0
26,26,6.0,28.0,1.0,5.0,20,1,910.0,4270.0,229.0,0.0
27,27,1.0,3.0,1.0,1.0,3,1,949.0,1997.0,449.0,0.0
28,28,4972.0,9731.0,1558.0,3515.5,6017,1135,3172239.360000006,9575120.660000267,1441627.079999999,-7.0
29,29,409.5,3215.0,36.0,312.0,1122,37,1132371.450000065,6919407.200000349,67872.0,-2.0
30,30,12300.5,25972.0,4017.0,9618.0,18004,3485,6632825.710000001,17471852.279996257,2595629.4000000153,-20.0
31,31,783.0,4732.0,471.0,606.5,1254,405,386115.985,3578167.0,166406.92999999996,-1.0
32,32,373.5,1616.0,85.0,292.0,515,76,325250.0,1817000.0,65900.0,0.0
33,33,270.5,407.0,29.0,256.5,363,28,345544.45,540149.8,48457.0,-1.0
34,34,320.5,885.0,20.0,113.5,140,18,377461.0,1101518.00000004,16994.0,0.0
35,35,711.0,2157.0,372.0,550.5,1439,290,1163621.905000005,3610626.8199999803,502973.4800000021,-1.0
36,36,7.0,9.0,5.0,6.0,7,5,4250.0,10000.0,1500.0,0.0
37,37,5958.5,9766.0,2956.0,5654.0,9311,2777,2658242.375000002,4103193.880000014,1362060.4099999932,-21.0
38,38,1271.5,2580.0,637.0,1229.0,2457,633,1089620.144999989,2184395.14999997,353456.77999999997,-7.0
39,39,19.0,204.0,1.0,18.5,190,1,11846.5,56992.0,99.0,0.0
40,40,16755.5,35287.0,6609.0,14888.5,29906,6317,4506137.525,9724948.65000003,1867086.0599999963,-20.0
41,41,961.5,1841.0,308.0,953.0,1755,293,998490.6650000103,2314984.25,421030.7,-4.0
42,42,518.0,896.0,26.0,414.0,555,23,644745.5,1005889.100000045,24374.2,-1.0
43,43,762.0,1556.0,186.0,759.5,1559,182,236926.475,467875.6000000001,60064.0,-1.0
44,44,6.0,31.0,2.0,6.0,31,2,920.0,3396.0,316.0,0.0
45,45,132.0,333.0,55.0,133.5,338,55,34145.4,86029.7,14545.0,-2.0
46,46,1.0,3.0,1.0,1.0,3,1,324.0,1247.0,212.0,0.0
47,47,395.5,3322.0,18.0,370.5,2326,18,186240.72500000003,1664202.600000015,8982.0,-3.0
48,48,1.0,3.0,1.0,1.0,3,1,299.0,827.0,229.0,0.0
49,49,745.5,1068.0,518.0,667.5,912,492,318251.20000000007,483354.0,211511.0,-2.0
50,50,3.0,3.0,3.0,2.0,2,2,58.0,58.0,58.0,0.0
51,51,1.0,1.0,1.0,1.0,1,1,129.0,129.0,129.0,0.0
52,52,3.0,3.0,3.0,3.0,3,3,300.0,300.0,300.0,0.0
53,53,1.0,1.0,1.0,1.0,1,1,299.0,349.0,199.0,0.0
54,54,246.5,357.0,18.0,184.0,248,15,43142.5,66680.0,1550.0,0.0
55,55,10322.0,15874.0,4851.0,10075.5,15166,4781,2951689.5500000007,4600712.149999999,1535258.9399999997,-13.0
56,56,217.5,839.0,85.0,215.5,705,87,217469.35,1263608.69999998,114182.79999999999,-1.0
57,57,969.0,1554.0,358.0,966.0,1544,361,272231.5,435319.7,112192.0,-2.0
58,58,373.5,801.0,268.0,373.0,798,274,632533.75,1457126.0,373912.0,-3.0
59,59,247.0,844.0,1.0,248.0,852,1,91946.0,358796.0,249.0,-1.0
60,60,43.0,90.0,12.0,43.0,88,12,131254.5,300670.0,49258.0,-1.0
61,61,236.5,2278.0,14.0,223.5,1477,14,214387.77500000002,3815992.09,16426.0,-2.0
62,62,650.5,3201.0,73.0,617.5,2574,64,690113.75,3212515.7000000007,111595.26,-4.0
63,63,1465.0,4985.0,786.0,1393.0,4288,761,1163121.3800000001,4290193.649999982,545412.95,-1.0
64,64,993.0,3057.0,658.0,968.0,2760,646,1019241.94,3142988.8,704615.6,-2.0
65,65,1953.5,4534.0,1274.0,1458.5,3387,962,630176.6050000001,1897353.350000002,368176.65,-1.0
66,66,283.0,735.0,5.0,239.0,594,3,15757.5,72592.0,140.0,-12.0
67,67,1201.5,3578.0,393.0,1153.0,3061,387,782113.825,2529301.09999999,425523.15,-2.0
68,68,9.0,21.0,1.0,9.0,18,1,19295.0,73950.0,3250.0,0.0
69,69,688.0,3143.0,471.0,636.0,2541,437,602335.6399999999,5490143.600000001,263383.95,-2.0
70,70,1187.5,3272.0,565.0,880.5,2361,479,396845.30000000005,1098831.9500000018,179743.7,-1.0
71,71,5849.0,12363.0,6.0,1041.5,1213,6,28989.74999999997,61268.24999999997,58.0,-9.0
72,72,1502.5,3901.0,446.0,1459.5,3579,440,1960879.0400000203,5606733.9499999955,517801.5300000005,-3.0
73,73,396.0,735.0,226.0,342.0,659,202,688372.5,1371918.9000000001,355409.38,-2.0
74,74,3.0,9.0,1.0,3.0,9,1,8970.0,37040.0,1190.0,0.0
75,75,1244.0,2867.0,544.0,1101.5,2411,515,2430558.1599999946,4468787.499999989,1056798.6,-4.0
76,76,173.5,371.0,91.0,111.0,225,51,216971.0,509577.99999999,64967.0,0.0
77,77,47.0,508.0,2.0,45.0,472,2,10813.0,93666.450000001,398.0,-1.0
78,78,78.0,188.0,29.0,75.0,139,29,20597.0,45752.0,7620.0,0.0
79,79,239.5,1995.0,49.0,166.5,870,35,176209.494999999,2519022.999999799,20272.980000002,0.0
80,80,167.0,5074.0,45.0,90.5,739,23,187800.0,7128400.000003801,52100.0,-1.0
81,81,25.0,170.0,1.0,24.0,133,1,3871.0,30637.0,348.0,-1.0
82,82,321.0,1326.0,1.0,131.0,549,1,11360.0,39878.0,13.0,0.0
83,83,279.5,869.0,46.0,188.5,444,34,35703.5,78675.34999999999,3842.0,-1.5
